"1001","789 Pine Drive","NJ","Hoboken","07030","201-555-2345"
"1002","456 Maple Avenue","NJ","Jersey City","07302","201-555-5678"
"1000","10 Cool Lane","NJ","Newark","07030","609-444-7897"
"5555","15 Wannabe Drive","NJ","Marlton","08058","609-456-3554"
"1003","202 Willow Road","NJ","Trenton","08608","609-555-3456"
"1004","707 Chestnut Circle","NJ","Atlantic City","08401","609-555-5678"
"1005","606 Elm Boulevard","NJ","Edison","08817","732-555-1234"
"1006","303 Birch Court","NJ","Camden","08102","856-555-7890"
"1234","14 Dumb Trail","PA","Pittsburg","06679","856-778-0009"
"1007","404 Aspen Avenue","NJ","Elizabeth","07201","908-555-4567"
"1008","101 Cedar Lane","NJ","Paterson","07501","973-555-6789"
"1009","505 Spruce Street","NJ","Clifton","07011","973-555-8901"
